English,CEFR,gender,word,wordAudio,region,definition,sentenceAudio,example,sentenceTranslation,oldSentenceToBeDeleted
help,A1,feminine,ayuda,X,,Acción de auxiliar o prestar servicio a alguien.,X,Necesito ayuda con mi tarea.,I need help with my homework.,
help,A1,verb,ayudar,X,,Prestar auxilio o colaboración a alguien.,X,Voy a ayudar a mi hermano.,I’m going to help my brother.,
blue,A1,adjective,azul,X,,De color del cielo despejado en un día soleado.,X,Mi camiseta es azul.,My T-shirt is blue.,
dance,A1,verb,bailar,X,,Mover el cuerpo al ritmo de la música.,X,Me gusta bailar con mis amigos.,I like dancing with my friends.,
dance,A1,masculine,baile,X,,Acción de bailar o espectáculo donde se baila.,X,El baile empieza a las ocho.,The dance starts at eight.,
"go down, descend",A1,verb,bajar,X,,Moverse hacia abajo o poner algo en un nivel inferior.,X,Vamos a bajar las escaleras.,Let’s go down the stairs.,
under,A1,preposition,bajo,X,,Indica que algo está en una posición inferior o debajo de otra cosa.,X,El gato duerme bajo la mesa.,The cat sleeps under the table.,
"low, short",A1,adjective,bajo,X,,Que tiene poca altura o estatura.,X,Mi hermano es más bajo que yo.,My brother is shorter than me.,
banana,A1,feminine,banana,X,LA,Fruto alargado y amarillo que se come crudo.,X,La banana está en la mesa.,The banana is on the table.,
bathe,A1,verb,bañar,X,,Meter a una persona o cosa en agua para lavarla o refrescarla.,X,Voy a bañar al perro.,I’m going to bathe the dog.,
bank,A1,masculine,banco,X,,Entidad financiera donde se guarda dinero o establecimiento público con asientos para sentarse.,X,Voy al banco a sacar dinero.,I’m going to the bank to withdraw money.,
bathroom,A1,masculine,baño,X,,Lugar provisto de instalaciones para el aseo o la higiene.,X,El baño está al final del pasillo.,The bathroom is at the end of the hallway.,
cheap,A1,adjective,barato,X,,Que cuesta poco dinero.,X,Este coche es muy barato.,This car is very cheap.,
boat,A1,masculine,barco,X,,Embarcación de gran tamaño que sirve para navegar.,X,El barco está en el puerto.,The boat is in the harbor.,
neighborhood,A1,masculine,barrio,X,,Parte de una ciudad o pueblo que forma una unidad diferenciada.,X,Mi barrio es tranquilo.,My neighborhood is quiet.,
baby,A1,masculine,bebé,X,,"Persona de corta edad, especialmente la que aún no sabe hablar ni andar.",X,El bebé duerme en su cuna.,The baby is sleeping in his crib.,
drink,A1,verb,beber,X,,Ingerir un líquido.,X,Quiero beber agua.,I want to drink water.,
drink,A1,feminine,bebida,X,,Líquido que se toma.,X,"Quiero una bebida fría, por favor.","I would like a cold drink, please.",
library,A1,feminine,biblioteca,X,,Lugar donde se guardan y se prestan libros para leer o estudiar.,X,Vamos a la biblioteca esta tarde.,We’re going to the library this afternoon.,
bicycle,A1,feminine,bicicleta,X,,Vehículo de dos ruedas impulsado por pedales.,X,Voy en bicicleta al colegio.,I ride my bike to school.,
well,A1,adverb,bien,X,,"De manera correcta, adecuada o satisfactoria.",X,"Estoy bien, gracias.","I’m fine, thanks.",
white,A1,adjective,blanco,X,,De color semejante a la nieve o a la leche.,X,La camisa es blanca.,The shirt is white.,
mouth,A1,feminine,boca,X,,"Abertura en la cara de las personas y animales, que sirve para hablar y comer.",X,"Abre la boca, por favor.","Open your mouth, please.",
pen,A1,masculine,bolígrafo,X,,Instrumento para escribir con tinta que se recarga o es desechable.,X,Necesito un bolígrafo para escribir.,I need a pen to write.,
bag,A1,feminine,bolsa,X,,Saco o envoltorio flexible que sirve para llevar cosas.,X,Tengo una bolsa roja.,I have a red bag.,
"pretty, lovely",A1,adjective,bonito,X,,Que resulta agradable a la vista o produce placer estético.,X,Tu casa es muy bonita.,Your house is very pretty.,
arm,A1,masculine,brazo,X,,"Cada una de las extremidades superiores del cuerpo humano, desde el hombro hasta la mano.",X,Me duele el brazo.,My arm hurts.,
good,A1,adjective,bueno,X,,Que tiene cualidades positivas o que es adecuado.,X,El pastel está muy bueno.,The cake is very good.,
look for,A1,verb,buscar,X,,Intentar encontrar algo o a alguien.,X,Voy a buscar mis llaves.,I’m going to look for my keys.,
horse,A1,masculine,caballo,X,,"Animal de gran tamaño, de cuatro patas, utilizado para montar o para realizar trabajos en el campo.",X,El caballo corre muy rápido.,The horse runs very fast.,
head,A1,feminine,cabeza,X,,"Parte superior del cuerpo humano donde están el cerebro, los ojos, la boca y otros órganos.",X,Me duele la cabeza.,My head hurts.,
"every, each",A1,determiner,cada,X,,Indica individualidad dentro de un conjunto.,X,Cada niño tiene un cuaderno.,Each child has a notebook.,
fall,A1,verb,caer,X,,Perder el equilibrio y venir abajo.,X,Ten cuidado o vas a caer.,Be careful or you’re going to fall.,
coffee,A1,masculine,café,X,,Bebida de color oscuro hecha con granos tostados de café.,X,Me gusta el café con leche.,I like coffee with milk.,
cafeteria,A1,feminine,cafetería,X,,Establecimiento donde se sirve café y otras bebidas o comidas ligeras.,X,Comemos en la cafetería.,We eat in the cafeteria.,
box,A1,feminine,caja,X,,Recipiente de diferentes tamaños que sirve para guardar objetos.,X,La caja está vacía.,The box is empty.,
sock,A1,masculine,calcetín,X,,Prenda que cubre el pie y parte de la pierna.,X,Solo tengo un calcetín.,I only have one sock.,
"hot, warm",A1,adjective,caliente,X,,Que tiene una temperatura elevada.,X,El té está caliente.,The tea is hot.,
street,A1,feminine,calle,X,,Vía pública de una ciudad o pueblo.,X,Mi calle es muy larga.,My street is very long.,
heat,A1,masculine,calor,X,,Sensación producida por la elevación de la temperatura.,X,Hace mucho calor hoy.,It’s very hot today.,
bed,A1,feminine,cama,X,,Mueble para acostarse y dormir.,X,La cama está hecha.,The bed is made.,
change,A1,verb,cambiar,X,,Sustituir una cosa por otra.,X,Quiero cambiar de asiento porque aquí no veo bien.,I want to change seats because I can’t see well here.,
walk,A1,verb,caminar,X,,Andar de un lugar a otro.,X,Vamos a caminar por el parque.,Let’s walk through the park.,
"road, way",A1,masculine,camino,X,,Vía que conduce a un sitio o trayecto para desplazarse.,X,El camino es corto.,The path is short.,
shirt,A1,feminine,camisa,X,,"Prenda de vestir que cubre el tronco, con cuello y mangas.",X,Llevo una camisa azul.,I’m wearing a blue shirt.,
T-shirt,A1,feminine,camiseta,X,,"Prenda de vestir ligera que cubre el tronco, sin cuello rígido.",X,Me gusta tu camiseta.,I like your T-shirt.,
"countryside, field",A1,masculine,campo,X,,Terreno rural o espacio al aire libre.,X,Trabaja en el campo.,He works in the countryside.,
sing,A1,verb,cantar,X,,Producir con la voz sonidos musicales.,X,Vamos a cantar una canción.,Let’s sing a song.,
face,A1,feminine,cara,X,,"Parte delantera de la cabeza en la que están los ojos, nariz y boca.",X,Tiene una cara feliz.,She has a happy face.,
meat,A1,feminine,carne,X,,Alimento que procede del cuerpo de los animales.,X,Hoy comemos carne.,Today we are eating meat.,
"dear, expensive",A1,adjective,caro,X,,Que tiene un precio elevado.,X,Este coche es muy caro.,This car is very expensive.,
letter,A1,feminine,carta,X,,Escrito que se envía a otra persona.,X,Escribo una carta a mi abuela.,I’m writing a letter to my grandmother.,
house,A1,feminine,casa,X,,Edificio destinado a la vivienda.,X,Mi casa es grande.,My house is big.,
almost,A1,adverb,casi,X,,Por poco o aproximadamente.,X,Casi llegamos.,We’re almost there.,
dinner,A1,feminine,cena,X,,Comida ligera que se toma por la noche.,X,La cena está lista.,Dinner is ready.,
"have dinner, dine",A1,verb,cenar,X,,Tomar la cena.,X,Vamos a cenar a las ocho.,We’re going to have dinner at eight.,
center,A1,masculine,centro,X,,Parte central de un lugar o espacio.,X,El centro está lleno de tiendas.,The center is full of shops.,
"around, near",A1,adverb,cerca,X,,A poca distancia en el espacio o en el tiempo.,X,La escuela está cerca de mi casa.,The school is near my house.,
close,A1,verb,cerrar,X,,Cubrir un hueco o impedir el paso de algo moviendo una parte que lo tapa.,X,Quiero cerrar la ventana.,I want to close the window.,
girl,A1,feminine,chica,X,,Persona joven de sexo femenino.,X,La chica está en la tienda.,The girl is in the shop.,
"boy, kid",A1,masculine,chico,X,,Persona joven de sexo masculino.,X,El chico tiene una bicicleta roja.,The boy has a red bicycle.,
five,A1,numeral,cinco,X,,Número que equivale a cuatro más uno.,X,Tengo cinco hermanos.,I have five siblings.,
movie theater,A1,masculine,cine,X,,Lugar donde se proyectan películas.,X,Vamos al cine esta noche.,We’re going to the cinema tonight.,
city,A1,feminine,ciudad,X,,Localidad con alta concentración de población y edificios.,X,Mi ciudad es bonita.,My city is beautiful.,
"clear, of course",A1,adjective,claro,X,,Que tiene mucha luz o es fácil de entender.,X,¡Claro que sí!,Of course!,
"client, customer",A1,masculine,cliente,X,,Persona que compra o utiliza bienes o servicios.,X,El cliente está esperando su pedido en la mesa.,The client is waiting for his order at the table.,
climate,A1,masculine,clima,X,,Condiciones atmosféricas de una región.,X,El clima está muy bien hoy.,The weather is very nice today.,
car,A1,feminine,coche,X,SP,Vehículo de cuatro ruedas destinado al transporte de personas.,X,El coche está aparcado afuera.,The car is parked outside.,
kitchen,A1,feminine,cocina,X,,Habitación o lugar donde se prepara la comida.,X,La cocina está limpia.,The kitchen is clean.,
cook,A1,verb,cocinar,X,,Preparar los alimentos para comerlos.,X,Voy a cocinar una sopa.,I’m going to cook a soup.,
"cook, chef",A1,masculine,cocinero,X,,Persona que prepara alimentos de manera profesional o doméstica.,X,El cocinero prepara la cena en la cocina.,The cook prepares dinner in the kitchen.,
school,A1,masculine,colegio,X,,Centro educativo para la enseñanza de niños.,X,El colegio está cerca de mi casa.,The school is near my house.,
color,A1,masculine,color,X,,Sensación que producen los rayos de luz en los ojos o apariencia de los objetos según esa luz.,X,¿Qué color te gusta más?,Which color do you like best?,
eat,A1,verb,comer,X,,Ingerir alimentos.,X,Vamos a comer ahora.,Let’s eat now.,
food,A1,feminine,comida,X,,Alimento preparado para ser comido.,X,La comida está deliciosa.,The food is delicious.,
"as, since",A1,conjunction,como,X,,Introduce comparaciones o semejanzas entre elementos.,X,"Como está lloviendo, nos quedamos en casa.","Since it’s raining, we stayed home.",
as,A1,preposition,como,X,,Introduce equivalencia o función de algo.,X,Trabajo como profesora.,I work as a teacher.,
as,A1,adverb,como,X,,Introduce modo o manera en que se hace algo.,X,Corre tan rápido como su hermano.,He runs as fast as his brother.,
how,A1,adverb,cómo,X,,Interroga sobre la manera en que ocurre algo.,X,¿Cómo te llamas?,What’s your name?,
"companion, classmate, partner",A1,masculine,compañero,X,,"Persona con la que se comparte una actividad, trabajo o estudios.",X,Mi compañero es muy simpático.,My classmate is very nice.,
buy,A1,verb,comprar,X,,Obtener algo a cambio de dinero.,X,Voy a comprar pan.,I’m going to buy bread.,
"comprehend, understand",A1,verb,comprender,X,,Llegar a entender el significado de algo.,X,No comprendo esta palabra.,I don’t understand this word.,
with,A1,preposition,con,X,,"Indica compañía, instrumento o modo.",X,Voy con mis amigos.,I’m going with my friends.,
with me,A1,pronoun,conmigo,X,,Forma de pronombre que indica compañía con la persona que habla.,X,¿Vienes conmigo al parque?,Are you coming with me to the park?,
"know, get to know",A1,verb,conocer,X,,Tener experiencia de alguien o algo por primera vez o de forma directa.,X,Quiero conocer a tus padres.,I want to meet your parents.,
count,A1,verb,contar,X,,Referir o enumerar algo.,X,Vamos a contar hasta diez.,Let’s count to ten.,
"answer, reply",A1,verb,contestar,X,,Responder a una pregunta o llamada.,X,Voy a contestar al profesor.,I’m going to answer the teacher.,
with you,A1,pronoun,contigo,X,,Forma de pronombre que indica compañía con la persona a la que se habla.,X,Voy contigo al supermercado.,I’m going with you to the supermarket.,
run,A1,verb,correr,X,,Desplazarse rápidamente con las piernas.,X,Me gusta correr en el parque.,I like running in the park.,
cut,A1,verb,cortar,X,,Separar con un instrumento afilado una parte de otra.,X,Voy a cortar el pan.,I'm going to cut the bread.,
short,A1,adjective,corto,X,,Que tiene poca longitud o duración.,X,Mi pelo es muy corto.,My hair is very short.,
thing,A1,feminine,cosa,X,,"Objeto material, indeterminado o abstracto.",X,Esa cosa es mía.,That thing is mine.,
cost,A1,verb,costar,X,,Tener un precio.,X,¿Cuánto cuesta esta chaqueta?,How much does this jacket cost?,
"believe, think",A1,verb,creer,X,,Aceptar como verdadero algo o tener fe en ello.,X,Creo que está en casa.,I think he's at home.,
"what, which",A1,pronoun,cuál,X,,Introduce una elección entre varias posibilidades.,X,¿Cuál es tu color favorito?,What's your favorite color?,
when,A1,conjunction,cuando,X,,Introduce el momento en que ocurre algo.,X,¿Cuándo es tu examen?,When is your exam?,
"room, quarter",A1,masculine,cuarto,X,,Habitación de una casa o piso.,X,Mi cuarto es pequeño.,My room is small.,
fourth,A1,adjective,cuarto,X,,Que ocupa la posición número cuatro en una serie.,X,Mi casa está en el cuarto piso.,My home is on the fourth floor.,
four,A1,numeral,cuatro,X,,Número equivalente a tres más uno.,X,Tengo cuatro libros.,I have four books.,
"count, bill, account",A1,feminine,cuenta,X,,Registro de cantidades u operaciones o relación de hechos.,X,Tengo una cuenta en el banco.,I have an account at the bank.,
birthday,A1,masculine,cumpleaños,X,,Aniversario del día de nacimiento de una persona.,X,Hoy es mi cumpleaños.,Today is my birthday.,
give,A1,verb,dar,X,,Entregar algo a alguien.,X,Voy a dar un regalo a mi amigo.,I'm going to give a gift to my friend.,
"of, from",A1,preposition,de,X,,"Indica posesión, origen, materia o relación.",X,La casa es de mi abuela.,The house is my grandmother's.,
say,A1,verb,decir,X,,Comunicar algo con palabras.,X,Voy a decir la verdad.,I'm going to tell the truth.,
finger,A1,masculine,dedo,X,,Cada una de las partes en que se dividen las manos y los pies.,X,Tengo un dedo herido.,I have an injured finger.,
sport,A1,masculine,deporte,X,,Actividad física realizada como juego o ejercicio.,X,Me gusta mucho el deporte.,I really like sports.,
have breakfast,A1,verb,desayunar,X,,Tomar la primera comida del día por la mañana.,X,Todos los días desayuno a las ocho.,I have breakfast every day at eight o’clock.,
breakfast,A1,masculine,desayuno,X,,"Primera comida del día, que se toma por la mañana.",X,El desayuno está listo.,Breakfast is ready.,
"from, since",A1,preposition,desde,X,,Indica el punto de origen en el espacio o en el tiempo.,X,Vivo en Madrid desde dos mil veinte.,I've lived in Madrid since 2020.,
after,A1,adverb,después,X,,Más tarde que el momento presente.,X,Vamos al cine después de cenar.,We're going to the cinema after dinner.,
behind,A1,adverb,detrás,X,,En la parte posterior de algo.,X,El perro está detrás.,The dog is behind.,
behind,A1,preposition,detrás de,X,,Indica posición situada en la parte trasera de otra cosa.,X,El coche está detrás de la casa.,The car is behind the house.,
day,A1,masculine,día,X,,Período de veinticuatro horas que comienza a medianoche.,X,Hoy es un buen día.,Today is a good day.,
December,A1,masculine,diciembre,X,,Duodécimo mes del año.,X,Diciembre es un mes muy frío.,December is a very cold month.,
nineteen,A1,numeral,diecinueve,X,,Número que equivale a diez y nueve unidades.,X,Mi hermana tiene diecinueve años.,My sister is nineteen years old.,
eighteen,A1,numeral,dieciocho,X,,Número equivalente a diez más ocho.,X,Tengo dieciocho años.,I am eighteen years old.,
ten,A1,numeral,diez,X,,Número equivalente a nueve más uno.,X,Tengo diez lápices en la mochila.,I have ten pencils in my backpack.,
difficult,A1,adjective,difícil,X,,Que presenta gran dificultad o no es fácil de hacer.,X,Este ejercicio es difícil.,This exercise is difficult.,
money,A1,masculine,dinero,X,,Conjunto de monedas y billetes que sirven como medio de pago.,X,No tengo dinero.,I don't have money.,
twelve,A1,numeral,doce,X,,Número equivalente a once más uno.,X,Mi hermana tiene doce años.,My sister is twelve years old.,
Sunday,A1,masculine,domingo,X,,Séptimo día de la semana.,X,El domingo vamos a la playa.,On Sunday we're going to the beach.,
where,A1,conjunction,donde,X,,Introduce el lugar en que sucede algo.,X,¿Dónde está el baño?,Where is the bathroom?,
sleep,A1,verb,dormir,X,,Reposar con los ojos cerrados en un estado de sueño.,X,Quiero dormir ocho horas.,I want to sleep eight hours.,
bedroom,A1,masculine,dormitorio,X,,Habitación de una vivienda destinada para dormir.,X,Mi dormitorio es pequeño.,My bedroom is small.,
two,A1,numeral,dos,X,,Número equivalente a uno más uno.,X,Tengo dos hermanos.,I have two brothers.,
sweet,A1,adjective,dulce,X,,Que tiene sabor agradable por contener azúcar.,X,Este pastel es muy dulce.,This cake is very sweet.,
age,A1,feminine,edad,X,,Tiempo que ha vivido una persona desde su nacimiento.,X,Tengo seis años de edad.,I am six years old.,
example,A1,masculine,ejemplo,X,,Modelo que sirve para explicar o mostrar algo.,X,Este es un ejemplo fácil.,This is an easy example.,
the,A1,article,el,X,,Artículo definido masculino singular.,X,El libro está sobre la mesa.,The book is on the table.,
he,A1,pronoun,él,X,,Pronombre personal masculino en tercera persona del singular.,X,Él es mi hermano.,He is my brother.,
she,A1,pronoun,ella,X,,Pronombre personal femenino en tercera persona del singular.,X,Ella es mi profesora.,She is my teacher.,
in,A1,preposition,en,X,,"Indica lugar, situación o estado.",X,Estoy en casa.,I’m at home.,
on top,A1,adverb,encima,X,,En la parte superior de algo.,X,El libro está encima.,The book is on top.,
on top of,A1,preposition,encima de,X,,Indica posición sobre otra cosa.,X,La taza está encima de la mesa.,The cup is on top of the table.,
January,A1,masculine,enero,X,,Primer mes del año.,X,Mi cumpleaños es en enero.,My birthday is in January.,
between,A1,preposition,entre,X,,Indica situación en medio de varias cosas.,X,El balón está entre la silla y la mesa.,The ball is between the chair and the table.,
school,A1,feminine,escuela,X,,Centro educativo donde aprenden los niños.,X,La escuela está cerca de mi casa.,The school is near my house.,
that,A1,determiner,ese,X,,Determina algo o alguien cercano al oyente.,X,Ese coche es rojo.,That car is red.,
Spain,A1,feminine,España,X,,País situado en el suroeste de Europa cuya capital es Madrid.,X,Vivo en España.,I live in Spain.,
Spanish,A1,adjective,español,X,,Natural de España o relativo a este país.,X,Me gusta el cine español.,I like Spanish cinema.,
be,A1,verb,estar,X,,"Indica estado, situación o ubicación.",X,Estoy cansado hoy.,I’m tired today.,
this,A1,pronoun,este,X,,Pronombre demostrativo que señala algo cercano al hablante.,X,Este es mi cuaderno.,This is my notebook.,
star,A1,feminine,estrella,X,,Cuerpo celeste que brilla en el cielo durante la noche.,X,Veo una estrella en el cielo.,I see a star in the sky.,
student,A1,masculine,estudiante,X,,Persona que recibe enseñanza en un centro educativo.,X,El estudiante escribe en su cuaderno.,The student writes in his notebook.,
study,A1,verb,estudiar,X,,Aplicarse al estudio para aprender.,X,Voy a estudiar matemáticas.,I’m going to study mathematics.,
Europe,A1,feminine,Europa,X,,Continente situado al norte de África y al oeste de Asia.,X,Europa es un continente grande.,Europe is a large continent.,
European,A1,adjective,europeo,X,,Natural de Europa o relativo a este continente.,X,La comida europea es muy variada.,European cuisine is very varied.,
easy,A1,adjective,fácil,X,,Que no presenta dificultad o se realiza sin esfuerzo.,X,Este ejercicio es fácil.,This exercise is easy.,
family,A1,feminine,familia,X,,Conjunto de personas unidas por parentesco.,X,Mi familia vive en Madrid.,My family lives in Madrid.,
February,A1,masculine,febrero,X,,Segundo mes del año.,X,Mi cumpleaños es en febrero.,My birthday is in February.,
happy,A1,adjective,feliz,X,,Que tiene un sentimiento de alegría.,X,Hoy estoy muy feliz.,Today I’m very happy.,
ugly,A1,adjective,feo,X,,Que resulta desagradable a la vista.,X,Ese cuadro es feo.,That painting is ugly.,
end,A1,masculine,fin,X,,Término de algo en el espacio o en el tiempo.,X,El fin de semana vamos al campo.,We’re going to the countryside this weekend.,
flower,A1,feminine,flor,X,,Órgano reproductor de las plantas con colores y formas diversas.,X,Me gusta esta flor.,I like this flower.,
"form, shape",A1,feminine,forma,X,,Aspecto o manera en que se presenta algo.,X,¿Cuál es la forma del círculo?,What is the shape of the circle?,
photo,A1,feminine,foto,X,,Imagen obtenida con una cámara fotográfica.,X,Mira esta foto de mi perro.,Look at this photo of my dog.,
French,A1,adjective,francés,X,,Natural de Francia o relativo a este país.,X,Mi profesora es francesa.,My teacher is French.,
France,A1,feminine,Francia,X,,País europeo cuya capital es París.,X,Francia está en Europa.,France is in Europe.,
strawberry,A1,feminine,fresa,X,,Fruto pequeño y rojo de sabor dulce que se come crudo.,X,Quiero una fresa con nata.,I want a strawberry with cream.,
cold,A1,adjective,frío,X,,Que tiene una temperatura baja.,X,Hoy hace mucho frío.,Today it’s very cold.,
fruit,A1,feminine,fruta,X,,"Producto comestible de las plantas, generalmente dulce.",X,Quiero comer una fruta.,I want to eat a fruit.,
fire,A1,masculine,fuego,X,,"Combustión que produce luz, calor y llamas.",X,El fuego está encendido en la chimenea.,The fire is lit in the fireplace.,
"soccer, football",A1,masculine,fútbol,X,,Deporte en el que dos equipos intentan introducir un balón en la portería contraria.,X,El fútbol es mi deporte favorito.,Soccer is my favorite sport.,
"glasses, eyeglasses",A1,feminine,gafas,X,SP,Objeto óptico formado por dos lentes unidas que se colocan delante de los ojos para mejorar la visión.,X,Necesito mis gafas para leer.,I need my glasses to read.,
cookie,A1,feminine,galleta,X,,"Producto alimenticio pequeño, dulce o salado, hecho con harina y horneado.",X,La galleta es muy dulce.,The cookie is very sweet.,
"win, earn",A1,verb,ganar,X,,"Obtener un beneficio, un premio o un resultado positivo en una actividad.",X,Quiero ganar el partido.,I want to win the match.,
kitten,A1,masculine,gatito,X,,Cría pequeña de un felino doméstico.,X,El gatito duerme en su cama.,The kitten is sleeping in its bed.,
cat,A1,masculine,gato,X,,Felino doméstico que suele convivir con las personas.,X,Mi gato es blanco y negro.,My cat is black and white.,
gazpacho,A1,masculine,gazpacho,X,,"Sopa fría típica de Andalucía hecha con tomate, pepino, pimiento, ajo, pan, aceite y vinagre.",X,El gazpacho es una sopa fría muy popular en verano.,Gazpacho is a cold soup that is very popular in summer.,
people,A1,feminine,gente,X,,Conjunto de personas en general.,X,Hay mucha gente en la calle.,There are a lot of people in the street.,
"big, large",A1,adjective,grande,X,,Que tiene un tamaño mayor de lo normal.,X,Esa casa es muy grande.,That house is very big.,
group,A1,masculine,grupo,X,,Conjunto de personas o cosas que forman una unidad.,X,Estamos en un grupo de cinco personas.,We are in a group of five people.,
"save, keep",A1,verb,guardar,X,,Colocar algo en un lugar para protegerlo o conservarlo.,X,Voy a guardar el dinero en la caja.,I'm going to keep the money in the box.,
"like, please, be pleasing to",A1,verb,gustar,X,,Experimentar agrado hacia alguien o algo.,X,Me gusta el helado de chocolate.,I like chocolate ice cream.,
speak,A1,verb,hablar,X,,Expresarse con palabras.,X,Quiero hablar contigo.,I want to talk to you.,
"do, make",A1,verb,hacer,X,,"Realizar una acción, producir algo o llevar a cabo una tarea.",X,Voy a hacer una tarta.,I’m going to make a cake.,
hunger,A1,feminine,hambre,X,,Sensación que se tiene cuando el cuerpo necesita alimento.,X,Tengo mucha hambre.,I'm very hungry.,
until,A1,preposition,hasta,X,,"Indica límite en el espacio, en el tiempo o en una acción.",X,Espero hasta las ocho.,I’ll wait until eight o’clock.,
there is,A1,verb,hay,X,,Forma impersonal del verbo “haber” para indicar existencia.,X,Hay un gato en el jardín.,There’s a cat in the garden.,
ice cream,A1,masculine,helado,X,,"Dulce frío preparado con leche o nata, azúcar y distintos sabores.",X,Quiero un helado de vainilla.,I want a vanilla ice cream.,
sister,A1,feminine,hermana,X,,Hija respecto de los mismos padres en relación con otra persona.,X,Mi hermana canta una canción.,My sister sings a song.,
"brother, sibling",A1,masculine,hermano,X,,Hijo respecto de los mismos padres en relación con otra persona.,X,Mi hermano lee un libro.,My brother is reading a book.,
