titleSpanish,titleEnglish,genre,CEFR,spanish,english
Visita a un museo,Visiting a Museum,monologue,A1,Hoy visito un museo en el centro de la ciudad. Llego por la mañana y compro la entrada en la taquilla. Dejo mi mochila y empiezo el recorrido. Primero voy a la exposición de arte moderno. Veo cuadros de muchos colores y esculturas grandes. Leo la información y camino despacio. Escucho una audioguía; explica todo de forma clara. Después descanso en la cafetería. Tomo un café y miro el mapa del museo. Por la tarde hay una visita guiada. La guía habla despacio y hace pausas. Yo entiendo bien y hago dos preguntas. Al final compro una postal en la tienda. Salgo del museo contento y quiero volver otro día con mis amigos.,Today I visit a museum in the city center. I arrive in the morning and buy my ticket at the ticket office. I leave my backpack and start the tour. First I go to the modern art exhibition. I see colorful paintings and large sculptures. I read the information and walk slowly. I listen to an audio guide; it explains everything clearly. Then I take a break in the café. I have a coffee and look at the museum map. In the afternoon there is a guided tour. The guide speaks slowly and pauses. I understand well and ask two questions. At the end I buy a postcard in the shop. I leave the museum happy and want to come back another day with my friends.
Cena para dos,A Dinner for Two,dialogue,A2,,
Inteligencia artificial,Artificial Intelligence,technology,A2,"La inteligencia artificial, o IA, es una tecnología que permite a las máquinas aprender de datos y tomar decisiones simples. Hoy usamos IA sin darnos cuenta. Cuando el móvil sugiere una ruta rápida o corrige palabras, hay IA. En casa, las plataformas de vídeo nos recomiendan series según lo que vemos. En el trabajo, la IA ayuda a traducir textos y a organizar correos. También puede analizar imágenes médicas y ayudar a los médicos. La IA tiene ventajas claras. Ahorra tiempo, reduce errores y crea nuevas herramientas. Sin embargo, también hay riesgos. Puede usar nuestros datos sin permiso y repetir ideas injustas. Por eso es importante tener reglas claras y personas responsables. En el futuro cercano, la IA va a ser más común en la educación y en el transporte. Los estudiantes van a recibir ejercicios personalizados. Los coches van a conducir con más ayuda del ordenador. Mi opinión es sencilla: la IA es útil si la usamos con cuidado. La tecnología debe servir a las personas, no al revés.","Artificial intelligence, or AI, is a technology that allows machines to learn from data and make simple decisions. Today, we use AI without even realizing it. When your cell phone suggests a quick route or corrects words, AI is at work. At home, video platforms recommend series based on what we watch. At work, AI helps translate texts and organize emails. It can also analyze medical images and assist doctors. AI has clear advantages. It saves time, reduces errors, and creates new tools. However, there are also risks. It can use our data without permission and repeat unfair ideas. That is why it is important to have clear rules and responsible people. In the near future, AI will become more common in education and transportation. Students will receive personalized exercises. Cars will drive with more computer assistance. My opinion is simple: AI is useful if we use it carefully. Technology should serve people, not the other way around."
Partidos políticos en España,Political Parties in Spain,politics,A2,"España es una monarquía parlamentaria. Los ciudadanos votan en elecciones para elegir a sus representantes. Los partidos presentan ideas y programas. Después, el Congreso de los Diputados elige a un presidente del Gobierno. A veces un partido gana con mayoría. Muchas veces necesitan acuerdos y coaliciones. Hay partidos nacionales y también partidos de comunidades autónomas. Por ejemplo, el PSOE es de centroizquierda. El PP es de centroderecha. Sumar es de izquierda. Vox es de derecha. En algunas regiones existen partidos importantes, como en Cataluña o el País Vasco. Estos partidos hablan de temas locales y nacionales. Los partidos discuten sobre economía, empleo, educación y sanidad. También debaten sobre impuestos y derechos sociales. Durante la campaña, los candidatos visitan ciudades y salen en la televisión. Las personas comparan las propuestas y deciden su voto. Participar es importante. Leer las noticias, escuchar opiniones diferentes y votar ayuda a mejorar la democracia en España.","Spain is a parliamentary monarchy. Citizens vote in elections to choose their representatives. Parties present ideas and programs. Then, the Congress of Deputies elects a president of the government. Sometimes a party wins with a majority. Often, agreements and coalitions are needed. There are national parties and also parties from autonomous communities. For example, the PSOE is center-left. The PP is center-right. Sumar is left-wing. Vox is right-wing. In some regions, there are important parties, such as in Catalonia or the Basque Country. These parties discuss local and national issues. The parties debate the economy, employment, education, and healthcare. They also debate taxes and social rights. During the campaign, candidates visit cities and appear on television. People compare the proposals and decide how to vote. Participating is important. Reading the news, listening to different opinions, and voting helps improve democracy in Spain."
Gofres noruegos,Norwegian Waffles,food,A2,,
Madrid,Madrid,travel,A2,"Madrid es la capital de España y está en el centro del país. Tiene muchos barrios diferentes y más de tres millones de habitantes. En Madrid hay museos famosos, como el Museo del Prado y el Reina Sofía, donde puedes ver el “Guernica” de Picasso. El Parque del Retiro es perfecto para pasear, hacer picnic o alquilar una barca en el lago. La Gran Vía tiene teatros y tiendas. La Puerta del Sol y la Plaza Mayor siempre están llenas de vida. Allí es típico comer un bocadillo de calamares. Por la noche, a la gente le gusta salir de tapas con amigos. Piden una bebida y comparten pequeños platos. El transporte público es muy bueno, con metro, autobuses y trenes, así que moverse es fácil. Madrid tiene mucha historia y también una energía moderna. En verano hace bastante calor, por eso es mejor caminar por la mañana o al atardecer.","Madrid is the capital of Spain and is located in the center of the country. It has many different neighborhoods and more than three million inhabitants. Madrid has famous museums, such as the Prado Museum and the Reina Sofía Museum, where you can see Picasso's “Guernica.” The Retiro Park is perfect for walking, picnicking, or renting a boat on the lake. Gran Vía has theaters and shops. Puerta del Sol and Plaza Mayor are always full of life. It is typical to eat a calamari sandwich there. At night, people like to go out for tapas with friends. They order a drink and share small plates. Public transportation is very good, with subways, buses, and trains, so getting around is easy. Madrid has a lot of history and also a modern energy. In summer it gets quite hot, so it's best to walk in the morning or at sunset."
Desayuno español,Spanish Breakfast,food,A2,"En España, el desayuno es ligero y rápido para muchas personas. Por la mañana, muchas personas toman café con leche y una tostada con tomate, aceite de oliva y un poco de sal. Otras personas prefieren galletas, magdalenas, cereales o yogur. A veces beben zumo de naranja natural. En los bares es muy común pedir una tostada con mantequilla y mermelada, una tostada con jamón, o un bocadillo pequeño de tortilla. Los fines de semana, algunas familias comen churros con chocolate caliente. Mucha gente empieza a trabajar temprano, así que desayuna poco en casa a las siete u ocho. Después, a media mañana, sobre las once, toman un segundo desayuno. Lo llaman “almuerzo”. En ese momento beben otro café, un cortado o un café solo, y comen algo pequeño, por ejemplo una fruta o un poco de tortilla. El desayuno español no es grande, pero es sabroso y sencillo.","In Spain, breakfast is light and quick for many people. In the morning, many people have coffee with milk and toast with tomato, olive oil, and a little salt. Others prefer cookies, muffins, cereal, or yogurt. Sometimes they drink fresh orange juice. In bars, it is very common to order toast with butter and jam, toast with ham, or a small tortilla sandwich. On weekends, some families eat churros with hot chocolate. Many people start work early, so they have a light breakfast at home at seven or eight o'clock. Then, mid-morning, around eleven o'clock, they have a second breakfast. They call it “almuerzo” (brunch). At that time, they drink another coffee, a cortado or a black coffee, and eat something small, such as a piece of fruit or a little tortilla. The Spanish breakfast is not large, but it is tasty and simple."
Coches autónomos,Self-Driving Cars,technology,A2,"Los coches autónomos son vehículos que pueden conducir solos. Tienen cámaras, radares y un ordenador. Con esta tecnología, el coche ve la carretera, los semáforos y a las personas. El sistema decide cuándo frenar, acelerar y girar. Para muchas personas, un coche autónomo es cómodo. Puedes leer, trabajar o descansar durante el viaje. También puede ayudar a gente mayor o con discapacidad. Además, los coches autónomos pueden reducir accidentes, porque no se cansan ni beben alcohol. Sin embargo, todavía hay problemas. A veces la tecnología falla con la lluvia o la nieve. Las calles son diferentes en cada ciudad. También hay preguntas sobre la culpa en un accidente. ¿Quién paga si pasa algo, la persona o la empresa? Hoy estos coches son caros y no están en todas partes. Pero cada año mejoran. En el futuro, mucha gente va a usar coches autónomos, sobre todo en ciudades grandes. Aun así, siempre necesitaremos normas claras y buena educación vial.","Autonomous cars are vehicles that can drive themselves. They have cameras, radars, and a computer. With this technology, the car sees the road, traffic lights, and people. The system decides when to brake, accelerate, and turn. For many people, an autonomous car is convenient. You can read, work, or rest during the trip. It can also help older people or people with disabilities. In addition, autonomous cars can reduce accidents because they don't get tired or drink alcohol. However, there are still problems. Sometimes the technology fails in rain or snow. Streets are different in every city. There are also questions about who is at fault in an accident. Who pays if something happens, the person or the company? Today, these cars are expensive and not available everywhere. But they are improving every year. In the future, many people will use autonomous cars, especially in large cities. Even so, we will always need clear rules and good driver education."
Dieta mediterránea,The Mediterranean Diet,health,A2,"La dieta mediterránea es un estilo de vida, no solo una lista de comidas. Se basa en frutas y verduras frescas, legumbres, cereales integrales, aceite de oliva y pescado, sobre todo pescado azul. La carne roja se come pocas veces al mes y en porciones pequeñas. Los postres suelen ser fruta. Se bebe agua durante el día y, en adultos, a veces vino con moderación en las comidas. También es importante cocinar en casa y compartir la mesa con la familia o los amigos. Un día típico puede ser así: para desayunar, pan integral con tomate y aceite de oliva, y café con leche o té. A media mañana, un yogur natural o una pieza de fruta. Para comer, una ensalada grande, lentejas o arroz con verduras, y pescado a la plancha. De merienda, un puñado de frutos secos. Para cenar, crema de verduras y una tortilla francesa con ensalada. Este modelo ayuda al corazón y al peso, porque los alimentos son naturales y tienen fibra. Además, caminar cada día y dormir bien forma parte de la misma idea de salud.","The Mediterranean diet is a lifestyle, not just a list of foods. It is based on fresh fruits and vegetables, legumes, whole grains, olive oil, and fish, especially oily fish. Red meat is eaten only a few times a month and in small portions. Desserts are usually fruit. Water is drunk throughout the day and, for adults, sometimes wine in moderation with meals. It is also important to cook at home and share meals with family or friends. A typical day might look like this: for breakfast, whole grain bread with tomato and olive oil, and coffee with milk or tea. Mid-morning, a plain yogurt or a piece of fruit. For lunch, a large salad, lentils or rice with vegetables, and grilled fish. For an afternoon snack, a handful of nuts. For dinner, cream of vegetable soup and a French omelet with salad. This model is good for the heart and weight, because the foods are natural and contain fiber. In addition, walking every day and sleeping well are part of the same idea of health."
Los volcanes,Volcanoes,science,A2,"Un volcán es una montaña que tiene un agujero arriba, llamado cráter. Debajo de la tierra hay roca muy caliente, que se llama magma. Cuando el magma sale a la superficie, se llama lava. En una erupción también salen gases y ceniza. La lava está muy caliente y corre lentamente por la ladera del volcán. Los volcanes pueden ser peligrosos. La ceniza puede cubrir casas y campos, y el aire puede ser difícil de respirar. Por eso, cuando hay una erupción, las autoridades dan alertas y a veces las personas deben evacuar sus casas. Es importante seguir las instrucciones de seguridad. Pero los volcanes también traen beneficios. La ceniza hace el suelo muy fértil para la agricultura. Además, los volcanes atraen a muchos turistas. En España hay volcanes en las Islas Canarias, como el Teide. En Italia, el Etna y el Vesubio son muy conocidos. Hoy en día, científicos observan los volcanes con instrumentos para saber si van a entrar en erupción y proteger a la población.","A volcano is a mountain with a hole at the top called a crater. Beneath the earth there is very hot rock called magma. When magma comes to the surface, it is called lava. Gases and ash are also released during an eruption. Lava is very hot and flows slowly down the side of the volcano. Volcanoes can be dangerous. Ash can cover houses and fields, and the air can be difficult to breathe. That is why, when there is an eruption, the authorities issue warnings and sometimes people have to evacuate their homes. It is important to follow safety instructions. But volcanoes also bring benefits. Ash makes the soil very fertile for agriculture. In addition, volcanoes attract many tourists. In Spain, there are volcanoes in the Canary Islands, such as Mount Teide. In Italy, Mount Etna and Mount Vesuvius are well known. Today, scientists observe volcanoes with instruments to determine if they are going to erupt and protect the population."
Revolución industrial,The Industrial Revolution,history,B1,"La Revolución Industrial fue un periodo de grandes cambios que empezó en el siglo XVIII, primero en el Reino Unido y después en otros países de Europa. Antes, la mayoría de la gente vivía en el campo y trabajaba en la agricultura o en pequeños talleres artesanales. Con la llegada de nuevas máquinas, como la máquina de vapor, la producción empezó a hacerse en fábricas. Esto permitió fabricar textiles, hierro y otros productos de forma más rápida y barata. Muchas personas se mudaron a las ciudades para trabajar como obreros. Las jornadas eran largas y los salarios, bajos. Las condiciones laborales eran difíciles y no había normas claras de seguridad. También trabajaban mujeres y niños. Al mismo tiempo, crecieron los barrios obreros, a menudo con problemas de higiene y vivienda. El transporte cambió mucho. El ferrocarril y los barcos de vapor conectaron regiones y países. Por eso, el comercio aumentó y las materias primas, como el carbón, llegaron con más facilidad a las fábricas. La comunicación mejoró y aparecieron nuevas profesiones. La Revolución Industrial tuvo efectos positivos y negativos. Por un lado, aumentó la producción y el nivel de vida de muchas personas a largo plazo. Por otro lado, creó desigualdades y contaminación. Con el tiempo, los movimientos obreros y las leyes laborales empezaron a proteger más a los trabajadores. Esta etapa transformó la economía, la sociedad y la forma de vivir en Europa.","The Industrial Revolution was a period of great change that began in the 18th century, first in the United Kingdom and then in other European countries. Before that, most people lived in the countryside and worked in agriculture or small craft workshops. With the arrival of new machines, such as the steam engine, production began to take place in factories. This made it possible to manufacture textiles, iron, and other products more quickly and cheaply. Many people moved to cities to work as laborers. The working days were long and the wages low. Working conditions were difficult and there were no clear safety standards. Women and children also worked. At the same time, working-class neighborhoods grew, often with problems of hygiene and housing. Transportation changed significantly. Railways and steamships connected regions and countries. As a result, trade increased and raw materials, such as coal, reached factories more easily. Communication improved and new professions emerged. The Industrial Revolution had both positive and negative effects. On the one hand, it increased production and the standard of living for many people in the long term. On the other hand, it created inequalities and pollution. Over time, labor movements and labor laws began to provide greater protection for workers. This period transformed the economy, society, and way of life in Europe."
La energía secreta de las plantas,The Secret Energy of Plants,science,B1,,
Hannah Arendt,Hannah Arendt,biography,B1,"Hannah Arendt fue una pensadora alemana de origen judío. Nació en 1906 y estudió filosofía. Cuando los nazis llegaron al poder, tuvo que huir de Alemania. Vivió en París y después se mudó a Estados Unidos, donde trabajó como profesora y escritora. Su libro más famoso es “Los orígenes del totalitarismo”. En él explica cómo ciertos gobiernos usan el miedo y la propaganda para controlar a la gente y romper la vida pública. También escribió “La condición humana”, donde diferencia entre labor, trabajo y acción, y pregunta cómo queremos vivir juntos en una comunidad. En 1961 asistió al juicio de Adolf Eichmann en Jerusalén como periodista. Allí habló de la “banalidad del mal”. Con esta idea dijo que una persona normal puede participar en crímenes terribles si solo obedece órdenes y deja de pensar por sí misma. Esta opinión causó mucha discusión, pero abrió un debate importante sobre la responsabilidad personal. Hoy se lee a Arendt para entender mejor la política, la libertad y los peligros del autoritarismo. Sus textos invitan a pensar de forma crítica, a conversar con otros y a proteger la pluralidad en la sociedad. Aunque escribió hace décadas, sus preguntas siguen siendo actuales.","Hannah Arendt was a German thinker of Jewish origin. She was born in 1906 and studied philosophy. When the Nazis came to power, she had to flee Germany. She lived in Paris and then moved to the United States, where she worked as a teacher and writer. Her most famous book is “The Origins of Totalitarianism.” In it, she explains how certain governments use fear and propaganda to control people and disrupt public life. She also wrote The Human Condition, in which she distinguishes between labor, work, and action, and asks how we want to live together in a community. In 1961, she attended the trial of Adolf Eichmann in Jerusalem as a journalist. There she spoke of the “banality of evil.” With this idea, she said that a normal person can participate in terrible crimes if they only obey orders and stop thinking for themselves. This opinion caused much discussion, but it opened an important debate about personal responsibility. Today, Arendt is read to better understand politics, freedom, and the dangers of authoritarianism. Her texts invite us to think critically, to engage in conversation with others, and to protect plurality in society. Although she wrote decades ago, her questions remain relevant today."
La batalla por el Trono Helado,The Battle for the Frozen Throne,fantasy,B1,,
La llegada de los Tres Soles,The Arrival of the Three Suns,science fiction,B1,,
Hábitos atómicos,Atomic Habits,psychology,B1,,
Zonas azules,Blue Zones,health,B1,,
Superalimentos,Superfoods,health,B1,"Hoy se habla mucho de los superalimentos. En general, se usa esta palabra para describir productos muy ricos en vitaminas, minerales y otros compuestos que protegen el cuerpo. Por ejemplo, los arándanos, el salmón, el brócoli, el aguacate, la quinoa, las semillas de chía, el té verde y el cacao puro. Se dice que ayudan al corazón, al cerebro y al sistema inmunitario. Estos alimentos tienen cosas útiles. Los arándanos aportan antioxidantes. El salmón contiene grasas saludables como el omega 3. La chía y la quinoa dan fibra y proteína vegetal. El aceite de oliva virgen extra es típico de la dieta mediterránea y cuida el colesterol. Para comerlos a diario, se pueden añadir frutos secos al yogur, poner aguacate en la tostada, preparar una ensalada con legumbres y quinoa, o beber un té verde por la tarde. Sin embargo, ningún alimento por sí solo hace milagros. Comer solo “superalimentos” no cura enfermedades. Lo más importante es una dieta variada y equilibrada, con verduras, fruta de temporada, legumbres, cereales integrales y pescado. Además, muchos productos locales y baratos, como las sardinas, las espinacas o las manzanas, también son muy saludables. En resumen, los superalimentos pueden ser una buena ayuda, pero la clave está en el conjunto de hábitos: buena alimentación, agua, sueño y movimiento diario.","Today, there is a lot of talk about superfoods. In general, this word is used to describe products that are very rich in vitamins, minerals, and other compounds that protect the body. For example, blueberries, salmon, broccoli, avocado, quinoa, chia seeds, green tea, and pure cocoa. They are said to help the heart, brain, and immune system. These foods have useful properties. Blueberries provide antioxidants. Salmon contains healthy fats such as omega-3. Chia and quinoa provide fiber and vegetable protein. Extra virgin olive oil is typical of the Mediterranean diet and helps control cholesterol. To eat them daily, you can add nuts to yogurt, put avocado on toast, prepare a salad with legumes and quinoa, or drink green tea in the afternoon. However, no single food can work miracles. Eating only “superfoods” does not cure diseases. The most important thing is a varied and balanced diet, with vegetables, seasonal fruit, legumes, whole grains, and fish. In addition, many local and inexpensive products, such as sardines, spinach, or apples, are also very healthy. In short, superfoods can be a good help, but the key is in the combination of habits: good nutrition, water, sleep, and daily exercise."
El muro de Berlín,The Berlin Wall,history,B1,,
La psicología de la felicidad,The Psychology of Happiness,psychology,B1,,
El resplandor,The Shining,horror,B1,,
El mago de Oz,The Wizard of Oz,fantasy,B1,,
"Wicked, parte I","Wicked, Part I",fantasy,B1,,
"Wicked, parte II","Wicked, Part II",fantasy,B1,,
El valle inquietante,The Uncanny Valley,psychology,B2,,
La cabaña en la oscuridad,The Cabin in the Dark,horror,B2,,
Atardecer en el fiordo,The Evening by the Fjord,dialogue,B2,,
Natalie Wynn,Natalie Wynn,philosophy,B2,"Natalie Wynn, conocida en Internet como ContraPoints, es una creadora que ha dado forma a un tipo de ensayo audiovisual difícil de encasillar. No se limita a opinar sobre temas polémicos. Construye escenas cuidadas, con vestuario, guion y una iluminación casi teatral, para que el espectador se detenga y piense. Sus vídeos tratan cuestiones como la identidad de género, la radicalización en línea, el cinismo político y la cultura de la cancelación. Mezcla referencias filosóficas con humor y sátira, y alterna momentos de ironía con otros de verdadera vulnerabilidad. Lo más interesante es su método. Por un lado desmonta argumentos utilizando lógica, ejemplos concretos y citas. Por otro crea personajes que representan distintas posturas, de modo que el debate no parezca un sermón, sino una conversación compleja. A veces introduce dudas o contradicciones en su propio discurso para mostrar que pensar bien exige matizar y no quedarse con la consigna fácil. Wynn recibe críticas por el barroquismo de sus vídeos y por su duración. Sin embargo, muchos valoran que devuelva peso a la forma y a la estética en un medio que suele premiar la rapidez. En definitiva, su canal propone un espacio donde la política y la cultura se examinan con paciencia, humor y cuidado visual. Quien busque argumentos trabajados y una puesta en escena poco habitual encontrará en ella una referencia útil.","Natalie Wynn, known online as ContraPoints, is a creator who has shaped a type of audiovisual essay that is difficult to categorize. She does not limit herself to expressing opinions on controversial topics. She constructs carefully crafted scenes, with costumes, scripts, and almost theatrical lighting, to make the viewer pause and think. Her videos address issues such as gender identity, online radicalization, political cynicism, and cancel culture. She mixes philosophical references with humor and satire, alternating moments of irony with others of genuine vulnerability. What is most interesting is her method. On the one hand, she dismantles arguments using logic, concrete examples, and quotes. On the other hand, he creates characters that represent different positions, so that the debate does not seem like a sermon, but rather a complex conversation. Sometimes he introduces doubts or contradictions into his own discourse to show that thinking well requires nuance and not settling for easy slogans. Wynn is criticized for the baroque nature of his videos and their length. However, many appreciate that he restores importance to form and aesthetics in a medium that tends to reward speed. In short, his channel offers a space where politics and culture are examined with patience, humor, and visual care. Anyone looking for well-crafted arguments and an unusual presentation will find it a useful reference."
La búsqueda de la verdad de Sócrates,Socrates' Quest for Truth,philosophy,B2,,
Tokio,Tokyo,travel,B2,,
Agujeros negros,Black Holes,science,B2,,
Feminismo,Feminism,politics,B2,,
Lost in Translation,Lost in Translation,drama,B2,,
Salud mental,Mental Health,health,B2,,
